Exercise_Name,Base_Lift,exercise_id
Cable Tricep Kickback,Best3BenchKg,501
Cable Tricep Push Away,Best3BenchKg,502
Cable Tricep Pushdown (12-15),Best3BenchKg,503
Cable Triceps Kickback,Best3BenchKg,504
Cable Twists,Best3DeadliftKg,505
Cable Unilateral Tricep Pushdowns,Best3DeadliftKg,506
Cable Woodchoppers,Best3DeadliftKg,510
Cable Wrist Curls (12-15),Best3DeadliftKg,512
Cable Wrist Pushdown,Best3BenchKg,513
Cable Y Raise,Best3BenchKg,514
Cable Y Raise (Rehab),Best3BenchKg,515
Cable abduction,Best3DeadliftKg,516
Cable twists,Best3DeadliftKg,518
Cable/Machine Fly (12-15),Best3DeadliftKg,519
Calf Press (Leg Press Machine),Best3SquatKg,523
Calf Press On Hack Squat,Best3SquatKg,524
Calf Raise,Best3SquatKg,525
Calf Raise (Leg Press),Best3SquatKg,528
Calf Raise (Smith Machine),Best3SquatKg,530
Calf Raise - Leg Press Machine,Best3SquatKg,531
Calf Raise Machine,Best3SquatKg,532
Calf Raise Smith Machine,Best3SquatKg,533
Calf Raise Sumo,Best3SquatKg,534
Cambered Bar Barbell Bench press,Best3BenchKg,535
Cambered Bar Squat,Best3SquatKg,538
Cannonball Crunch,Cardio_Core,539
Cardio,Cardio_Core,541
Cardio (LISS),Cardio_Core,542
Chest Dips,Best3BenchKg,555
Chest Fly (Dumbbell),Best3BenchKg,558
Chest Fly (Machine),Best3DeadliftKg,559
Chest Fly press (DB),Best3BenchKg,561
Chest Press,Best3BenchKg,562
Chest Press (Convergent),Cardio_Core,563
Chest Press (Resistance Band),Cardio_Core,566
Chest Press (dumbbell),Best3BenchKg,568
Chest Pull Over,Best3DeadliftKg,571
Chest Supported Barbell Lat Row,Best3DeadliftKg,572
Chest Supported Cable Row,Best3DeadliftKg,574
Chest Supported Curl,Best3DeadliftKg,575
Chest Supported Dumbbell Lateral Raises,Best3DeadliftKg,578
Chest Supported Dumbells Lateral Raise,Best3DeadliftKg,579
Chest Supported Incline Shrug,Best3DeadliftKg,580
Chest Supported Low Row,Best3DeadliftKg,582
Chest Supported Machine Row Stack Loaded,Best3DeadliftKg,583
Chest Supported Rear Delt Fly (Dumbbell),Best3BenchKg,584
Chest Supported Rear Fly,Best3BenchKg,585
Chest Supported Reverse Fly (Dumbbell),Best3BenchKg,586
Chest Supported Row,Best3DeadliftKg,587
Chest Supported Row (12-15),Best3DeadliftKg,589
Chest Supported Row (Machine),Best3DeadliftKg,592
Chest Supported Row (Swiss Bar),Best3DeadliftKg,594
Chest Supported Row (T-Bar),Best3DeadliftKg,595
Chest Supported Row Of Choice,Best3DeadliftKg,596
Chest Supported T Bar Row,Best3DeadliftKg,597
Chest Supported T Bar Row Pronated,Best3DeadliftKg,598
Chest Supported T-Bar Row,Best3DeadliftKg,599
Chest To Bar Pull-ups,Best3DeadliftKg,600
Chest-Supported Row (Machine),Best3DeadliftKg,601
Chin-Up (Assisted),Best3DeadliftKg,606
Chin-Up (Weighted),Best3DeadliftKg,608
Chinese Lateral Elevations,Best3DeadliftKg,609
Clamshells (Band),Cardio_Core,612
Clamshells With Band,Cardio_Core,613
Clean (Barbell),Best3DeadliftKg,617
Clean And Jerk Complex,Best3DeadliftKg,618
Clean Deadlift,Best3DeadliftKg,619
Clean Pull,Best3DeadliftKg,620
Clean and Press,Best3DeadliftKg,622
Close Chest Dumbbell Press,Best3BenchKg,623
"Close Grip Bench Press (12,10,8,6,4)",Best3BenchKg,625
