Exercise_Name,Base_Lift,exercise_id
Band Pistons,Cardio_Core,216
Band Pull Apart,Cardio_Core,217
Band Pull Aparts Routine,Cardio_Core,218
Band Push-down,Cardio_Core,219
Band Resisted Sprints 20 Yards,Cardio_Core,220
Band Resisted Steal Starts,Cardio_Core,221
Band Rows,Cardio_Core,222
Band Scarecrows,Cardio_Core,223
Band Shoulder Rotations,Cardio_Core,224
Band Snatch,Cardio_Core,225
Band Static Trunk Circuit,Cardio_Core,226
Band Tricep Pushdown,Cardio_Core,227
Band Twists,Cardio_Core,228
Band Wrist Flexion,Cardio_Core,229
Banded Ankle Mobilizations,Cardio_Core,230
Banded Back Squat,Cardio_Core,231
Banded Back Squat [X|5|X],Cardio_Core,232
Banded Backwards Kicks,Cardio_Core,233
Banded Baseball Complex,Cardio_Core,234
Banded Bicep Curl,Cardio_Core,235
Banded Chest Dumbbell Fly,Cardio_Core,236
Banded Chest Fly,Cardio_Core,237
Banded Clam Shells,Cardio_Core,238
Banded Cuban Rotations,Cardio_Core,239
Banded Deadbug,Cardio_Core,240
Banded Dips,Cardio_Core,241
Banded External Rotation,Cardio_Core,242
Banded External Rotations,Cardio_Core,243
Banded Fire Hydrants,Cardio_Core,244
Banded Glute Activation,Cardio_Core,245
Banded Hack Squat,Cardio_Core,246
Banded Hip Abduction,Cardio_Core,247
Banded Hip Distraction,Cardio_Core,248
Banded Hip Flexor Marches,Cardio_Core,249
Banded Kettle Bell Swings,Cardio_Core,250
Banded Knee Extensions,Cardio_Core,251
Banded Overhead Squat,Cardio_Core,252
Banded Pull Apart,Cardio_Core,253
Banded Shoulder Abduction,Cardio_Core,254
Banded Shoulder Dislocates,Cardio_Core,255
Banded Shoulder Extensions,Cardio_Core,256
Banded Smith Machine Glute Bridges,Cardio_Core,257
Banded Trap Bar Deadlift,Cardio_Core,258
Banded Tricep Press Down,Cardio_Core,259
Banded Tricep Pushdown,Cardio_Core,260
Banded ankle distractions,Cardio_Core,261
Banded or Chained Overhead Press,Cardio_Core,262
Bar Assisted Pogo Hops,Cardio_Core,263
Bar Skull Crusher,Best3BenchKg,264
Barbell American Deadlift,Best3DeadliftKg,265
Barbell Curls,Best3DeadliftKg,266
Barbell Front Raise,Best3BenchKg,267
