bert_score,candidate_id,is_same_group,target,eq_clean,level_idx,goal_clean
0.0012137846788391,2736,1,0,Bodyweight,2,Bodybuilding
0.0011712985578924,869,0,0,Barbell,0,Powerbuilding
0.0020922117400914,936,0,0,Dumbbell,2,Fitness
0.0016942620277404,481,0,0,Machine,2,Powerbuilding
0.0012661539949476,2238,0,0,Machine,0,Muscle & Sculpting
0.0012105430942028,955,0,0,Bodyweight,0,Powerlifting
0.0014459729427471,1970,1,0,Barbell,2,Bodybuilding
0.0014312622370198,3023,0,0,Dumbbell,2,Muscle & Sculpting
0.0012151766568422,2087,0,0,Machine,0,Muscle & Sculpting
0.0011460464447736,1146,0,0,Bodyweight,0,Powerlifting
0.0013998224167153,1683,0,0,Bodyweight,0,Bodyweight Fitness
0.0012385088484734,2522,0,0,Bodyweight,0,Bodybuilding
0.0025103278458118,2563,0,0,Machine,0,Athletics
0.0012280052760615,2590,0,0,Barbell,0,Powerlifting
0.0012054567923769,1170,1,0,Bodyweight,2,Athletics
0.0017298806924372,2872,0,0,Dumbbell,0,Muscle & Sculpting
0.0011545909801498,2263,1,0,Machine,2,Bodybuilding
0.001296836649999,2872,0,0,Dumbbell,0,Muscle & Sculpting
0.0017428260762244,492,1,0,Machine,2,Powerlifting
0.0012689710129052,2408,1,0,Dumbbell,2,Powerlifting
0.001120472094044,936,0,0,Dumbbell,2,Fitness
0.0011457804357632,1020,0,0,Bodyweight,0,Bodybuilding
0.0012045466573908,492,1,0,Machine,2,Powerlifting
0.0013392299879342,2099,0,0,Machine,0,Athletics
0.0013994716573506,1471,1,0,Machine,2,Bodybuilding
0.0013632342452183,2576,0,0,Barbell,2,Bodybuilding
0.0011862387182191,1495,1,0,Machine,2,Athletics
0.0012175482697784,1075,0,0,Barbell,1,Athletics
0.001218038261868,1168,1,0,Machine,2,Bodybuilding
0.001478434423916,884,0,0,Bodyweight,0,Powerlifting
0.0014624844770878,1344,1,0,Bodyweight,2,Bodybuilding
0.0011727082310244,2531,0,0,Barbell,2,Muscle & Sculpting
0.002259129891172,1592,1,0,Bodyweight,2,Bodybuilding
