iter	F1	Logloss
413	0.9790103292	0.07899081482
414	0.9789961065	0.0789302004
415	0.9789961065	0.07885626985
416	0.9789961065	0.07875434044
417	0.9789818842	0.07863152735
418	0.9790245524	0.07859381493
419	0.9790529999	0.07852286614
420	0.9790529999	0.07841899156
421	0.9792094908	0.07817573893
422	0.9791952623	0.07800450793
423	0.9794628251	0.07780231383
424	0.979477055	0.07770724401
425	0.979687602	0.07763299104
426	0.9797160624	0.07747972016
427	0.9797302933	0.07741792512
428	0.9797729883	0.07719945491
429	0.9798014537	0.07716627501
430	0.9798014537	0.07716051564
431	0.9798441549	0.07697983023
432	0.9798868598	0.07684808418
433	0.9798868598	0.07674986555
434	0.9799010957	0.07658415462
435	0.9801400118	0.07649423892
436	0.9801400118	0.07636774809
437	0.9801115395	0.07628243543
438	0.9801115395	0.07610678971
439	0.9801400118	0.07598316225
440	0.9802111998	0.07586705125
441	0.9804215429	0.0756574656
442	0.980296639	0.07537328994
443	0.9805212214	0.075285232
444	0.9805212214	0.0751926341
445	0.9803108803	0.07504927324
446	0.9805354628	0.07491130535
447	0.980325122	0.07484220925
448	0.9803393642	0.07476247648
449	0.9803393642	0.07471112365
450	0.9803393642	0.07467055302
451	0.9803678497	0.07460818477
452	0.9803820931	0.07460559731
453	0.9806921459	0.07448890893
454	0.9808203785	0.07425965207
455	0.9808346286	0.07421233354
456	0.9808773815	0.0739504947
457	0.981101868	0.0738082465
458	0.9813120041	0.07360403769
459	0.9813405077	0.07347537059
460	0.981369013	0.07325064575
461	0.9814687946	0.07298827768
462	0.9815115644	0.07290448508
463	0.9815115644	0.07290193075
464	0.9817358548	0.07282303121
465	0.9815258218	0.07273540788
466	0.9815400796	0.07267191719
467	0.9815400796	0.07257530734
468	0.9815685965	0.07245610004
469	0.9818356662	0.07236487092
470	0.9818214062	0.07233700925
471	0.9817786286	0.0721663231
472	0.9817786286	0.07216417553
473	0.9817786286	0.07213591261
474	0.9818499266	0.0719538321
475	0.9818499266	0.07191801899
476	0.9818499266	0.07188293595
477	0.981921235	0.07170212802
478	0.9819354979	0.0715874833
479	0.981964025	0.07156218637
480	0.9820496161	0.07142872947
481	0.9820781498	0.07123872327
482	0.9820638828	0.07113381512
483	0.9820638828	0.07113211129
484	0.9820781498	0.07106613066
485	0.9821066852	0.07091665198
486	0.9820924173	0.07084962444
487	0.9821209535	0.07078057775
488	0.9821066852	0.07056631438
489	0.9821066852	0.07035486865
490	0.9821209535	0.07032680934
491	0.9821494913	0.0702007156
492	0.9823736863	0.07008859223
493	0.982402226	0.07006805102
494	0.9824164965	0.07005294325
495	0.9824450387	0.06990134529
496	0.9825306754	0.06977302022
497	0.9825734993	0.06956125884
498	0.9825734993	0.06954745281
499	0.9825877747	0.06944272136
500	0.9826306036	0.06934551146
501	0.9826448807	0.06922513389
502	0.9826877146	0.06919114511
503	0.9827448322	0.06899873719
504	0.9827591127	0.06883314296
505	0.9827733935	0.06881199313
506	0.9829974929	0.06874653986
507	0.9829832119	0.06873387908
508	0.9830689039	0.06854523579
509	0.9830689039	0.06845344355
510	0.9830689039	0.06832231877
511	0.9830831874	0.06822038597
512	0.9830831874	0.06820883245
513	0.9830974713	0.06812059891
514	0.9831403254	0.06803556788
515	0.9832260448	0.06788292212
516	0.9832689101	0.06778359529
517	0.9834929128	0.06769578214
518	0.9837311062	0.06762132399
519	0.9838740239	0.0674329793
520	0.9838740239	0.06736707688
521	0.9838883179	0.06732452252
522	0.9838883179	0.06731390557
523	0.9839026124	0.06726146598
524	0.9839026124	0.06720885828
525	0.9839454983	0.06703319026
526	0.9839454983	0.06696109025
527	0.9839454983	0.06695218567
528	0.9839454983	0.06694053448
529	0.9839454983	0.06687083989
530	0.9839883879	0.06677604104
531	0.9839883879	0.06677240735
532	0.983974091	0.06672931757
533	0.9839883879	0.06663469326
534	0.9839883879	0.06663467958
535	0.9839883879	0.0665038446
536	0.9840026853	0.06638323862
537	0.9840312813	0.06627224949
538	0.9840312813	0.06626756902
539	0.9840598789	0.06622247899
540	0.9840312813	0.06610415959
541	0.9841027785	0.06605602094
542	0.9841027785	0.06601610942
543	0.9841027785	0.06599757882
544	0.984188589	0.06590049851
545	0.984188589	0.06581840737
546	0.9842314998	0.06563206968
547	0.9842458042	0.06556638392
548	0.9842744144	0.06549705647
549	0.9842744144	0.06542387177
550	0.9842601091	0.06533273704
551	0.98428872	0.06532188602
552	0.9843316396	0.06525196215
553	0.9843459469	0.06522433923
554	0.9843745629	0.06517406517
555	0.9843888715	0.06512521588
556	0.9844031805	0.06508263877
557	0.9844031805	0.06507938823
558	0.9844031805	0.06503873187
559	0.9844031805	0.06503872384
560	0.9844174899	0.06502883766
561	0.9844317998	0.06495988521
562	0.9844604207	0.06491217252
563	0.9844747318	0.06486057279
564	0.9844747318	0.0647939822
565	0.9845033553	0.06471699425
566	0.9845033553	0.06466328961
567	0.9845033553	0.06462740094
568	0.9844747318	0.06457522528
569	0.9844890433	0.06451210765
570	0.9844890433	0.06448696613
571	0.9844890433	0.06437709123
572	0.9845319804	0.06425964099
573	0.9845892355	0.06407163033
574	0.9845749211	0.06400423128
575	0.9846751308	0.06389612175
576	0.9846751308	0.06381893894
577	0.9847037659	0.06375213064
578	0.9847180841	0.06362132722
579	0.9847180841	0.06355266443
580	0.9847180841	0.06352731214
581	0.9847467217	0.06343004934
582	0.9847610411	0.06331303053
583	0.9847753609	0.0632902645
584	0.9847753609	0.06325221707
585	0.9848326444	0.06309894425
586	0.9848469664	0.06302839026
587	0.9848756114	0.06296248541
588	0.9849042582	0.06286455229
589	0.9849042582	0.06277320522
590	0.9849042582	0.06272977927
591	0.9849042582	0.06272976892
592	0.9849042582	0.0626820604
593	0.9849329066	0.06263567218
594	0.9849472315	0.06257358642
595	0.9849472315	0.06253880682
596	0.9849758824	0.06246920161
597	0.9849758824	0.06245062688
598	0.9849615567	0.06241587151
599	0.9849615567	0.06240312764
600	0.9849758824	0.06238895822
601	0.9849758824	0.06235415876
602	0.9849615567	0.06231277313
603	0.9849615567	0.06227493083
604	0.985004535	0.06212562841
605	0.985004535	0.0620427379
606	0.9850331892	0.06199382526
607	0.9850618451	0.06190178482
608	0.9850761737	0.06189653573
609	0.9850618451	0.06187652065
610	0.985047517	0.0618360712
611	0.985047517	0.061766296
612	0.985047517	0.06171912857
613	0.985162154	0.06151644004
614	0.985162154	0.06147238948
615	0.985162154	0.06141555991
616	0.9851478229	0.0613420778
617	0.9851908174	0.06125067276
618	0.9852194825	0.06118339348
619	0.9852194825	0.06113386914
620	0.9852624833	0.06093140896
621	0.9852768177	0.0608782762
622	0.9852911525	0.0607802664
623	0.9853054878	0.06070527134
624	0.9853054878	0.06065758175
625	0.9853054878	0.06061633185
626	0.9852911525	0.0605906183
627	0.9852911525	0.06056689067
628	0.9852911525	0.06048586583
629	0.9852911525	0.06035808687
630	0.9853341596	0.06030322287
631	0.9853198235	0.06024337651
632	0.9853771703	0.06017107784
633	0.985362833	0.06013117741
634	0.985362833	0.0600934264
635	0.9853771703	0.06003593894
636	0.9853915081	0.06000473797
637	0.9853915081	0.05989529375
638	0.9854058463	0.05985142689
639	0.9853915081	0.05978861666
640	0.9854775434	0.05975213171
641	0.9854775434	0.05975213027
642	0.9855062252	0.0596964937
643	0.9854488633	0.05960496753
644	0.9854488633	0.05960496592
645	0.9854345239	0.05959142675
646	0.9854488633	0.05957805183
647	0.9854632032	0.05954829628
648	0.9854632032	0.05954829628
649	0.9854632032	0.05954385737
650	0.9854632032	0.05951669895
651	0.9854775434	0.05950242396
652	0.9854775434	0.0594777586
653	0.9854632032	0.05942680623
654	0.9854918841	0.05941525231
655	0.9855062252	0.05936085378
656	0.9855205667	0.05933835956
657	0.9855205667	0.05933835011
658	0.9855205667	0.05933834598
659	0.9855349086	0.05928720926
660	0.9855205667	0.05919959228
661	0.9855062252	0.05916877624
662	0.9855349086	0.05912869299
663	0.985801755	0.05896924015
664	0.9858304428	0.05888576721
665	0.9858304428	0.0588737558
666	0.9858304428	0.05879306159
667	0.9858304428	0.05877241902
