iter	Passed	Remaining
1029	26746	25188
1030	26761	25152
1031	26780	25119
1032	26796	25084
1033	26812	25049
1034	26828	25014
1035	26846	24980
1036	26862	24945
1037	26883	24914
1038	26901	24881
1039	26925	24854
1040	26942	24820
1041	26961	24788
1042	26983	24758
1043	27002	24726
1044	27024	24696
1045	27045	24666
1046	27062	24632
1047	27085	24604
1048	27106	24573
1049	27125	24542
1050	27143	24509
1051	27157	24472
1052	27174	24439
1053	27195	24408
1054	27216	24378
1055	27237	24348
1056	27254	24315
1057	27274	24284
1058	27291	24250
1059	27310	24218
1060	27329	24186
1061	27350	24156
1062	27369	24125
1063	27386	24092
1064	27404	24059
1065	27421	24026
1066	27440	23993
1067	27457	23961
1068	27479	23932
1069	27497	23899
1070	27517	23868
1071	27537	23838
1072	27557	23807
1073	27573	23773
1074	27593	23743
1075	27612	23712
1076	27630	23679
1077	27646	23645
1078	27665	23614
1079	27684	23582
1080	27702	23551
1081	27721	23519
1082	27740	23488
1083	27759	23457
1084	27780	23427
1085	27795	23393
1086	27814	23362
1087	27834	23332
1088	27852	23300
1089	27870	23268
1090	27892	23239
1091	27914	23211
1092	27933	23180
1093	27952	23148
1094	27969	23116
1095	27990	23086
1096	28006	23053
1097	28026	23023
1098	28046	22993
1099	28066	22963
1100	28084	22931
1101	28106	22903
1102	28124	22872
1103	28142	22840
1104	28158	22807
1105	28174	22774
1106	28195	22745
1107	28214	22714
1108	28233	22683
1109	28249	22650
1110	28268	22620
1111	28290	22591
1112	28307	22559
1113	28327	22529
1114	28347	22500
1115	28367	22470
1116	28388	22441
1117	28407	22410
1118	28425	22379
1119	28446	22350
1120	28462	22318
1121	28482	22288
1122	28498	22256
1123	28518	22226
1124	28540	22197
1125	28560	22168
1126	28581	22140
1127	28600	22109
1128	28617	22078
1129	28637	22047
1130	28654	22016
1131	28674	21986
1132	28693	21957
1133	28716	21930
1134	28731	21896
1135	28749	21865
1136	28766	21834
1137	28783	21802
1138	28803	21773
1139	28825	21745
1140	28846	21716
1141	28865	21687
1142	28882	21655
1143	28899	21623
1144	28919	21595
1145	28939	21565
1146	28957	21534
1147	28978	21506
1148	28996	21476
1149	29017	21447
1150	29037	21418
1151	29053	21386
1152	29069	21354
1153	29089	21325
1154	29106	21294
1155	29125	21264
1156	29141	21232
1157	29162	21204
1158	29178	21172
1159	29195	21141
1160	29215	21112
1161	29234	21082
1162	29254	21053
1163	29278	21027
1164	29297	20998
1165	29316	20969
1166	29338	20941
1167	29356	20911
1168	29375	20881
1169	29394	20852
1170	29411	20821
1171	29427	20789
1172	29443	20758
1173	29463	20729
1174	29481	20699
1175	29500	20670
1176	29518	20640
1177	29535	20609
1178	29552	20578
1179	29571	20549
1180	29588	20518
1181	29607	20489
1182	29625	20459
1183	29645	20431
1184	29660	20399
1185	29678	20369
1186	29694	20338
1187	29710	20307
1188	29731	20279
1189	29750	20250
1190	29771	20222
1191	29789	20192
1192	29810	20165
1193	29827	20135
1194	29844	20104
1195	29864	20076
1196	29887	20049
1197	29907	20021
1198	29929	19994
1199	29948	19965
1200	29965	19935
1201	29989	19909
1202	30006	19879
1203	30025	19850
1204	30042	19820
1205	30061	19791
1206	30078	19761
1207	30097	19733
1208	30115	19703
1209	30138	19676
1210	30158	19649
1211	30174	19618
1212	30193	19589
1213	30212	19561
1214	30231	19532
1215	30247	19501
1216	30268	19474
1217	30286	19444
1218	30304	19416
1219	30323	19387
1220	30339	19356
1221	30359	19328
1222	30379	19300
1223	30396	19271
1224	30416	19243
1225	30436	19215
1226	30457	19187
1227	30481	19162
1228	30500	19134
1229	30519	19105
1230	30538	19077
1231	30556	19048
1232	30575	19020
1233	30592	18990
1234	30609	18960
1235	30628	18932
1236	30649	18904
1237	30665	18874
1238	30686	18847
1239	30701	18817
